****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Wed Mar 27 21:06:46 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  sa01_reg_7_ (WDDLDFFMS)             4.40e-06 8.47e-07 2.02e-09  5.25e-06   0.1
  text_out_reg_93_ (WDDLDFFMS)        3.54e-06 3.40e-08 1.98e-09  3.58e-06   0.1
  text_out_reg_125_ (WDDLDFFMS)       3.54e-06 6.80e-08 2.03e-09  3.61e-06   0.1
  text_out_reg_14_ (WDDLDFFMS)        3.75e-06 6.80e-08 2.00e-09  3.82e-06   0.1
  sa22_reg_7_ (WDDLDFFMS)             3.38e-06 2.82e-07 2.01e-09  3.67e-06   0.1
  sa12_reg_2_ (WDDLDFFMS)             4.32e-06 5.78e-07 2.04e-09  4.89e-06   0.1
  text_out_reg_54_ (WDDLDFFMS)        4.04e-06 1.02e-07 2.04e-09  4.15e-06   0.1
  sa33_reg_2_ (WDDLDFFMS)             2.94e-06 1.93e-07 1.91e-09  3.14e-06   0.1
  text_out_reg_94_ (WDDLDFFMS)        3.74e-06 1.02e-07 2.00e-09  3.84e-06   0.1
  text_out_reg_126_ (WDDLDFFMS)       3.34e-06 6.80e-08 2.01e-09  3.41e-06   0.1
  text_out_reg_15_ (WDDLDFFMS)        3.59e-06 6.80e-08 2.03e-09  3.66e-06   0.1
  sa12_reg_3_ (WDDLDFFMS)             4.21e-06 5.59e-07 2.01e-09  4.77e-06   0.1
  U1373 (WDDLNANDCOMP)                2.06e-06 1.42e-06 3.06e-09  3.48e-06   0.1
  text_out_reg_55_ (WDDLDFFMS)        4.41e-06 1.36e-07 2.06e-09  4.55e-06   0.1
  sa33_reg_3_ (WDDLDFFMS)             4.21e-06 5.59e-07 2.01e-09  4.77e-06   0.1
  text_out_reg_95_ (WDDLDFFMS)        3.37e-06 6.80e-08 2.01e-09  3.44e-06   0.1
  text_out_reg_127_ (WDDLDFFMS)       4.21e-06 1.02e-07 2.04e-09  4.31e-06   0.1
  text_out_reg_16_ (WDDLDFFMS)        3.69e-06 1.02e-07 2.02e-09  3.79e-06   0.1
  sa12_reg_4_ (WDDLDFFMS)             4.50e-06 6.70e-07 2.05e-09  5.18e-06   0.1
  text_out_reg_56_ (WDDLDFFMS)        3.99e-06 1.02e-07 2.06e-09  4.10e-06   0.1
  sa33_reg_4_ (WDDLDFFMS)             3.73e-06 3.12e-07 2.01e-09  4.04e-06   0.1
  text_out_reg_96_ (WDDLDFFMS)        3.80e-06 6.80e-08 2.03e-09  3.87e-06   0.1
  text_out_reg_17_ (WDDLDFFMS)        3.49e-06 6.80e-08 1.99e-09  3.56e-06   0.1
  sa12_reg_5_ (WDDLDFFMS)             4.39e-06 3.00e-07 2.02e-09  4.69e-06   0.1
  sa02_reg_0_ (WDDLDFFMS)             4.32e-06 2.99e-07 2.01e-09  4.62e-06   0.1
  text_out_reg_57_ (WDDLDFFMS)        3.88e-06 6.80e-08 2.02e-09  3.95e-06   0.1
  sa33_reg_5_ (WDDLDFFMS)             4.67e-06 3.00e-07 2.04e-09  4.98e-06   0.1
  sa23_reg_0_ (WDDLDFFMS)             3.95e-06 1.99e-07 2.01e-09  4.15e-06   0.1
  text_out_reg_97_ (WDDLDFFMS)        3.64e-06 1.02e-07 2.03e-09  3.74e-06   0.1
